ad_id,name
17042,Suzuki - Sydney
53794,Toyota - Melbourne
73954,Toyota - Brisbane
74150,Toyota - Perth
87573,Toyota - Adelaide
97011,Suzuki - Canberra
101726,Honda - Darwin
135739,Toyota - Hobart
142495,Ford - Gold Coast
143308,Ford - Newcastle
174951,Ford - Wollongong
182003,Toyota - Geelong
182298,Toyota - Townsville
183963,Toyota - Cairns
203337,Ford - Toowoomba
211394,Toyota - Ballarat
304604,Toyota - Bendigo
449343,Mitsubishi - Albury
449349,Mitsubishi - Launceston
485640,Toyota - Mackay
485669,Toyota - Rockhampton
485675,Toyota - Bundaberg
485696,Toyota - Maitland
515018,Hyundai - Burnie
531808,Volvo - Bunbury
560029,Isuzu - Gladstone
587030,Hyundai - Hervey Bay
694755,Honda - Alice Springs
698859,Daewoo - Mount Gambier
747206,Toyota - Kalgoorlie
960975,Volvo - Devonport
1116138,Mercedes Benz - Mandurah
1126086,Toyota - Tamworth
1168135,Toyota - Orange
1185796,Suzuki - Dubbo
1210562,Daewoo - Sydney
1247739,Volvo - Melbourne
1280936,Hino - Brisbane
1342584,Mercedes Benz - Perth
1342730,Mercedes Benz - Adelaide
1343488,Mercedes Benz - Canberra
1343600,Mercedes Benz - Darwin
1343791,Mercedes Benz - Hobart
1347208,Mercedes Benz - Gold Coast
1393396,Mazda - Newcastle
1393417,Mazda - Wollongong
1394005,Mazda - Geelong
1429536,Hyundai - Townsville
1429547,Hyundai - Cairns
1429562,Hyundai - Toowoomba
1429579,Hyundai - Ballarat
1429653,Hyundai - Bendigo
1464997,Hyundai - Albury
1465025,Hyundai - Launceston
1465065,Hyundai - Mackay
1465078,Hyundai - Rockhampton
1465099,Hyundai - Bundaberg
1465123,Hyundai - Maitland
1467840,Hyundai - Burnie
1508142,Suzuki - Bunbury
1519607,Hyundai - Gladstone
1570629,Suzuki - Hervey Bay
1570743,Suzuki - Alice Springs
1570896,Suzuki - Mount Gambier
1580673,Hyundai - Kalgoorlie
1599616,Toyota - Devonport
1625985,Toyota - Mandurah
1660868,Honda - Tamworth
1668465,Hyundai - Orange
1733151,Toyota - Dubbo
1736820,Toyota - Sydney
1784799,Suzuki - Melbourne
1799555,Suzuki - Brisbane
1799592,Suzuki - Perth
1807887,Mitsubishi - Adelaide
1875988,Hyundai - Canberra
1876186,Hyundai - Darwin
1876223,Hyundai - Hobart
1876299,Hyundai - Gold Coast
1888442,Hyundai - Newcastle
1939983,Hyundai - Wollongong
1977257,Mercedes Benz - Geelong
2001944,Suzuki - Townsville
2048368,Suzuki - Cairns
2050181,Mazda - Toowoomba
2052733,Toyota - Ballarat
2052839,Ford - Bendigo
2055450,Ford - Albury
2056515,Toyota - Launceston
2062513,Toyota - Mackay
2094956,Mercedes Benz - Rockhampton
2112854,Mercedes Benz - Bundaberg
2142752,Toyota - Maitland
2165805,Mazda - Burnie
2255425,Mercedes Benz - Bunbury
2255426,Mercedes Benz - Gladstone
2261455,Audi - Hervey Bay
2267738,Mercedes Benz - Alice Springs
2274966,Toyota - Mount Gambier
2301154,Ford - Kalgoorlie
2301669,Ford - Devonport
2301707,Ford - Mandurah
2302095,Subaru - Tamworth
2314021,Ford - Orange
2324881,Toyota - Dubbo
2324982,Toyota - Sydney
2373043,Mazda - Melbourne
2417656,Honda - Brisbane
2439373,Ford - Perth
2446532,Ford - Adelaide
2446553,Ford - Canberra
2450325,Hyundai - Darwin
2450364,Hyundai - Hobart
2450413,Hyundai - Gold Coast
